P,PdVPr,x,x1,x2,x3,y,y1,y2,y3
AVE,DLL(0) v MLR(1/3),2659,863,934,861,-3257,-1086,-1086,-1086
AVS,DLL(0) v MLR(1),1883,606,661,616,-2428,-207,-250,-1972
EVA,DLL(1/3) v MLR(0),4826,1608,1608,1608,-5769,-2132,-2033,-1605
EVE,DLL(1/3) v MLR(1/3),6916,2305,2305,2305,-4864,-1622,-1622,-1622
EVS,DLL(1/3) v MLR(1),3659,1219,1219,1219,-3459,-237,-266,-2957
SVA,DLL(1) v MLR(0),17349,5934,5689,5725,-9025,-3260,-3401,-2364
SVE,DLL(1) v MLR(1/3),14517,3909,4584,6023,-8157,-2719,-2719,-2719
SVS,DLL(1) v MLR(1),6385,2468,2263,1653,-5155,-252,-1097,-3806
AVA,DLR(0) v DDL(0),2829,901,934,993,-1935,-654,-691,-590
AVE,DLR(0) v DDL(1/3),2158,661,781,714,-904,-302,-302,-302
AVS,DLR(0) v DDL(1),1177,413,366,397,-516,-158,-168,-191
EVA,DLR(1/3) v DDL(0),5783,1927,1927,1927,-3426,-913,-1309,-1205
EVE,DLR(1/3) v DDL(1/3),4236,1412,1412,1412,-1851,-617,-617,-617
EVS,DLR(1/3) v DDL(1),1499,499,499,499,-706,-217,-203,-286
SVA,DLR(1) v DDL(0),11123,4964,5156,1001,-5291,-1677,-2182,-1433
SVE,DLR(1) v DDL(1/3),6224,2290,3019,915,-2681,-894,-894,-894
SVS,DLR (1)v DDL(1),2903,1083,1246,574,-1209,-470,-285,-455
AVA,MDR(0) v MLR(0),2592,863,820,908,-3821,-1360,-1456,-1007
AVE,MDR(0) v MLR(1/3),3090,976,994,1119,-2516,-839,-839,-839
AVS,MDR(0) v MLR(1),1681,558,558,563,-2916,-188,-219,-2510
EVA,MDR(1/3) v MLR(0),4417,1472,1472,1472,-5343,-2023,-1803,-1517
EVE,MDR(1/3) v MLR(1/3),7083,2361,2361,2361,-5017,-1673,-1673,-1673
EVS,MDR(1/3) v MLR(1),2948,982,982,982,-4073,-345,-387,-3342
SVA,MDR(1) v MLR(0),12957,5978,5920,1058,-8294,-3471,-2378,-2446
SVE,MDR(1) v MLR(1/3),10572,5041,4482,1048,-6306,-2102,-2102,-2102
SVS,MDR(1) v MLR(1),4108,1547,1654,907,-4344,-673,-613,-3059
AVA,LRR(0) v DLL(0),2517,868,851,797,-1779,-651,-569,-559
AVE,LRR(0) v DLL(1/3),2126,727,713,686,-860,-287,-287,-287
AVS,LRR(0) v DLL(1),1213,401,382,429,-506,-159,-183,-165
EVA,LRR(1/3) v DLL(0),3626,1208,1208,1208,-2551,-954,-778,-819
EVE,LRR(1/3) v DLL(1/3),3047,1015,1015,1015,-1295,-432,-432,-432
EVS,LRR(1/3) v DLL(1),1244,414,414,414,-569,-163,-213,-194
SVA,LRR(1) v DLL(0),6883,4767,1042,1074,-3327,-1362,-743,-1224
SVE,LRR(1) v DLL(1/3),4952,3224,921,805,-1955,-652,-652,-652
SVS,LRR(1) v DLL(1),2308,1144,615,548,-905,-184,-467,-256
AVA,MLR(0) v MRR(0),2110,705,694,710,-7012,-2244,-2357,-2412
AVE,MLR(0) v MRR(1/3),2177,733,727,715,-5360,-1787,-1787,-1787
AVS,MLR(0) v MRR(1),2085,683,704,697,-4765,-274,-2302,-2190
EVA,MLR(1/3) v MRR(0),3254,1084,1084,1084,-6545,-2236,-2136,-2174
EVE,MLR(1/3) v MRR(1/3),4425,1475,1475,1475,-6285,-2095,-2095,-2095
EVS,MLR(1/3) v MRR(1),3506,1168,1168,1168,-5552,-241,-2704,-2608
SVA,MLR(1) v MRR(0),7555,4265,2424,865,-9690,-3609,-2757,-3325
SVE,MLR(1) v MRR(1/3),10825,5243,4572,1009,-8679,-2893,-2893,-2893
SVS,MLR(1) v MRR(1),8289,5085,2315,888,-7095,-533,-2439,-4125
AVA,MDL(0) v MLR(0),3560,1173,1197,1189,-3747,-1306,-1443,-998
AVE,MDL(0) v MLR(1/3),2861,1018,944,898,-4211,-1404,-1404,-1404
AVS,MDL(0) v MLR(1),1658,551,577,528,-2439,-221,-189,-2030
EVA,MDL(1/3) v MLR(0),8090,2696,2696,2696,-6028,-1929,-2148,-1953
EVE,MDL(1/3) v MLR(1/3),6434,2144,2144,2144,-4471,-1491,-1491,-1491
EVS,MDL(1/3) v MLR(1),4545,1515,1515,1515,-3770,-221,-262,-3289
SVA,MDL(1) v MLR(0),16588,5182,5906,5498,-9400,-3203,-3287,-2911
SVE,MDL(1) v MLR(1/3),13124,3965,4965,4194,-6850,-2284,-2284,-2284
SVS,MDL(1) v MLR(1),6142,2329,1589,2223,-4676,-1269,-245,-3163
AVA,MLR(0) v DDD(0),3140,992,1030,1118,-2739,-917,-974,-850
AVE,MLR(0) v DDD(1/3),2306,786,729,791,-978,-326,-326,-326
AVS,MLR(0) v DDD(1),1089,345,376,367,-491,-152,-168,-172
EVA,MLR(1/3) v DDD(0),5841,1947,1947,1947,-4990,-1785,-1795,-1410
EVE,MLR(1/3) v DDD(1/3),4569,1523,1523,1523,-1951,-651,-651,-651
