PdVPr,x,x1,x2,y,y1,y2
MR(0.5) v LL(0.5),635,317,317,-484,-242,-242
MR(0.5) v LL(0.7),468,234,234,-343,-161,-183
MR(0.5) v LL(0.9),421,210,210,-292,-120,-173
MR(0.5) v LL(1),388,194,194,-309,-213,-96
MR(0.7) v LL(0),3367,2164,1203,-2907,-1931,-976
MR(0.7) v LL(0.1),3416,2198,1218,-2501,-721,-1780
MR(0.7) v LL(0.3),1910,1158,752,-1332,-618,-715
MR(0.7) v LL(0.5),950,548,401,-609,-305,-305
MR(0.7) v LL(0.7),665,395,269,-435,-226,-209
MR(0.7) v LL(0.9),569,326,243,-385,-222,-164
MR(0.7) v LL(1),576,331,245,-382,-273,-110
MR(0.9) v LL(0),4300,3438,862,-3415,-818,-2597
MR(0.9) v LL(0.1),6027,4937,1090,-4182,-2040,-2142
MR(0.9) v LL(0.3),1579,1065,514,-1136,-534,-603
MR(0.9) v LL(0.5),783,505,277,-557,-279,-279
MR(0.9) v LL(0.7),527,357,170,-370,-178,-192
MR(0.9) v LL(0.9),636,427,208,-422,-210,-213
MR(0.9) v LL(1),519,352,166,-361,-194,-168
MR(1) v LL(0),3608,3141,466,-3159,-994,-2166
MR(1) v LL(0.1),4885,4327,558,-3373,-1974,-1399
MR(1) v LL(0.3),2148,1728,419,-1455,-718,-737
MR(1) v LL(0.5),990,657,332,-680,-340,-340
MR(1) v LL(0.7),626,435,191,-412,-208,-205
MR(1) v LL(0.9),591,393,197,-407,-177,-231
MR(1) v LL(1),496,365,131,-371,-93,-279
MM(0) v MM(0),964,497,466,-1443,-713,-730
MM(0) v MM(0.1),954,469,485,-1046,-536,-510
MM(0) v MM(0.3),774,374,399,-607,-305,-303
MM(0) v MM(0.5),329,128,201,-244,-122,-122
MM(0) v MM(0.7),192,101,91,-179,-86,-93
MM(0) v MM(0.9),192,101,91,-163,-80,-84
MM(0) v MM(1),176,92,83,-165,-82,-83
MM(0.1) v MM(0),950,488,462,-1499,-730,-770
MM(0.1) v MM(0.1),1079,566,512,-1326,-639,-688
MM(0.1) v MM(0.3),950,506,444,-720,-361,-360
MM(0.1) v MM(0.5),294,154,140,-231,-116,-116
MM(0.1) v MM(0.7),182,89,92,-154,-79,-76
MM(0.1) v MM(0.9),191,94,97,-175,-87,-88
MM(0.1) v MM(1),217,111,106,-184,-78,-107
MM(0.3) v MM(0),1260,668,592,-1763,-834,-929
MM(0.3) v MM(0.1),2140,839,1301,-1669,-1088,-581
MM(0.3) v MM(0.3),1157,562,595,-901,-470,-432
MM(0.3) v MM(0.5),372,183,189,-306,-153,-153
MM(0.3) v MM(0.7),225,107,118,-187,-96,-92
MM(0.3) v MM(0.9),198,105,93,-164,-79,-85
MM(0.3) v MM(1),195,102,92,-162,-79,-83
MM(0.5) v MM(0),3500,1750,1750,-3486,-2616,-871
MM(0.5) v MM(0.1),3965,1982,1982,-2840,-1999,-841
MM(0.5) v MM(0.3),5226,2613,2613,-3083,-1598,-1485
MM(0.5) v MM(0.5),1195,597,597,-916,-458,-458
MM(0.5) v MM(0.7),865,432,432,-604,-363,-241
MM(0.5) v MM(0.9),756,378,378,-523,-360,-164
MM(0.5) v MM(1),764,382,382,-596,-252,-344
MM(0.7) v MM(0),7053,3425,3627,-5174,-3381,-1793
MM(0.7) v MM(0.1),7887,4048,3838,-5154,-3578,-1577
MM(0.7) v MM(0.3),3409,1557,1851,-2270,-1128,-1143
MM(0.7) v MM(0.5),1832,970,861,-1182,-591,-591
MM(0.7) v MM(0.7),1112,554,558,-750,-373,-378
MM(0.7) v MM(0.9),1260,607,652,-862,-396,-467
MM(0.7) v MM(1),1077,525,552,-754,-366,-389
MM(0.9) v MM(0),8699,4379,4319,-6324,-3319,-3006
MM(0.9) v MM(0.1),11948,6052,5895,-6958,-3169,-3789
MM(0.9) v MM(0.3),5674,3164,2510,-3416,-1583,-1834
MM(0.9) v MM(0.5),1764,858,906,-1192,-596,-596
MM(0.9) v MM(0.7),1120,580,539,-791,-413,-378
MM(0.9) v MM(0.9),1161,598,562,-821,-563,-259
MM(0.9) v MM(1),1196,597,599,-839,-298,-542
MM(1) v MM(0),9919,5087,4831,-6465,-2952,-3513
MM(1) v MM(0.1),1333,662,670,-878,-455,-423
MM(1) v MM(0.3),5596,2852,2744,-3373,-1746,-1628
MM(1) v MM(0.5),1863,1023,840,-1257,-629,-629
MM(1) v MM(0.1),1181,612,569,-799,-331,-469
MM(1) v MM(0.9),1185,609,576,-826,-300,-527
MM(1) v MM(1),1113,576,537,-769,-308,-462
LR(0)  v DD(0),734,375,359,-1212,-461,-751
LR(0)  v DD(0.1),787,407,379,-862,-456,-406
LR(0)  v DD(0.3),803,366,436,-643,-314,-330
LR(0)  v DD(0.5),369,173,196,-266,-133,-133
LR(0)  v DD(0.7),208,103,105,-178,-88,-90
LR(0) v DD(0.9),183,74,109,-155,-77,-79
LR(0)  v DD(1),214,99,115,-178,-89,-90
LR(0.1)  v DD(0),807,416,391,-1208,-624,-585
LR(0.1)  v DD(0.1),791,375,415,-871,-409,-462
LR(0.1)  v DD(0.3),773,351,422,-607,-303,-304
LR(0.1)  v DD(0.5),322,149,173,-260,-130,-130
LR(0.1)  v DD(0.7),207,98,109,-178,-87,-91
LR(0.1)  v DD(0.9),202,84,117,-167,-79,-88
LR(0.1)  v DD(1),202,93,109,-175,-81,-94
LR(0.3) v DD(0),2708,1000,1708,-2585,-1589,-996
LR(0.3)  v DD(0.1),1736,667,1068,-1478,-678,-800
LR(0.3) v DD(0.3),1294,538,756,-854,-391,-463
LR(0.3) v DD(0.5),317,149,168,-263,-132,-132
LR(0.3)  v DD(0.7),227,104,123,-185,-92,-94
LR(0.3) v DD(0.9),209,103,106,-167,-87,-81
LR(0.3) v DD(1),192,90,101,-172,-91,-82
LR(0.5) v DD(0),3611,1805,1805,-3397,-2217,-1180
LR(0.5)  v DD(0.1),3891,1945,1945,-2758,-894,-1864
LR(0.5) v DD(0.3),3569,1784,1784,-2148,-1035,-1114
LR(0.5) v DD(0.5),995,497,497,-740,-370,-370
LR(0.5)  v DD(0.7),576,288,288,-409,-242,-168
LR(0.5) v DD(0.9),682,341,341,-465,-229,-237
LR(0.5) v DD(1),481,240,240,-354,-264,-91
LR(0.7)  v DD(0),4268,2785,1482,-4003,-2115,-1888
LR(0.7)  v DD(0.1),5192,3418,1774,-3184,-1911,-1273
LR(0.7)  v DD(0.3),3264,2110,1153,-2003,-1064,-939
LR(0.7)  v DD(0.5),1260,742,518,-863,-432,-432
LR(0.7)  v DD(0.7),800,493,306,-536,-261,-275
LR(0.7)  v DD(0.9),668,410,257,-457,-209,-248
LR(0.7)  v DD(1),538,327,211,-387,-221,-167
LR(0.9) v DD(0),3662,2921,741,-3134,-932,-2202
LR(0.9)  v DD(0.1),2855,2225,629,-2729,-1008,-1722
LR(0.9) v DD(0.3),3084,2418,666,-2132,-1070,-1063
LR(0.9) v DD(0.5),1255,832,422,-818,-409,-409
LR(0.9)  v DD(0.7),871,629,241,-565,-262,-303
LR(0.9) v DD(0.9),719,495,223,-496,-244,-253
LR(0.9) v DD(1),664,466,197,-441,-198,-243
LR(1) v DD(0),3620,3143,477,-3004,-2081,-923
LR(1)  v DD(0.1),4898,4348,549,-3491,-1845,-1646
LR(1) v DD(0.3),3054,2607,446,-1900,-882,-1018
LR(1) v DD(0.5),1300,892,407,-868,-434,-434
LR(1)  v DD(0.1),765,563,201,-511,-271,-240
LR(1) v DD(0.9),644,483,160,-450,-219,-231
LR(1) v DD(1),648,474,173,-439,-236,-204
LL(0) v MR(0),709,347,361,-4436,-2053,-2384
LL(0) v MR(0.1),700,346,354,-4126,-2200,-1927
LL(0) v MR(0.3),885,458,427,-3298,-2035,-1264
LL(0) v MR(0.5),928,421,507,-2824,-1412,-1412
LL(0) v MR(0.7),962,445,517,-2129,-792,-1338
LL(0) v MR(0.9),439,212,227,-3119,-405,-2714
LL(0) v MR(1),447,229,217,-2414,-80,-2335
LL(0.1) v MR(0),700,346,354,-4126,-2200,-1927
LL(0.1) v MR(0.1),962,445,517,-2129,-792,-1338
LL(0.1) v MR(0.3),1184,544,639,-3018,-1827,-1191
LL(0.1) v MR(0.5),1114,557,557,-2697,-1349,-1349
LL(0.1) v MR(0.7),941,481,460,-3132,-1091,-2042
LL(0.1) v MR(0.9),420,206,214,-2919,-372,-2547
LL(0.1) v MR(1),494,223,270,-2200,-96,-2104
LL(0.3) v MR(0),1301,662,639,-3931,-2142,-1790
LL(0.3) v MR(0.3),1006,504,501,-3221,-1767,-1454
LL(0.3) v MR(0.5),1169,567,601,-3013,-1507,-1507
LL(0.3) v MR(0.7),1738,667,1071,-2888,-958,-1930
LL(0.3) v MR(0.9),987,410,577,-2442,-326,-2116
LL(0.3) v MR(1),1030,437,593,-2989,-96,-2893
LL(0.5) v MR(0),3096,1548,1548,-6098,-2311,-3787
LL(0.5) v MR(0.1),4839,2419,2419,-6039,-4123,-1917
LL(0.5) v MR(0.3),6925,3462,3462,-6188,-3379,-2809
LL(0.5) v MR(0.5),3585,1792,1792,-4509,-2255,-2255
LL(0.5) v MR(0.7),3640,1820,1820,-4776,-1850,-2927
LL(0.5) v MR(0.9),3098,1549,1549,-3460,-568,-2892
LL(0.5) v MR(1),4090,2045,2045,-4519,-234,-4286
LL(0.7) v MR(0),7136,3457,3679,-7626,-3653,-3973
LL(0.7) v MR(0.1),8428,4150,4277,-7518,-4441,-3078
LL(0.7) v MR(0.3),8288,4435,3852,-6322,-3306,-3016
LL(0.7) v MR(0.5),8200,4068,4132,-6289,-3145,-3145
LL(0.7) v MR(0.7),5152,2269,2883,-5103,-1816,-3288
LL(0.7) v MR(0.9),4776,2547,2229,-4394,-721,-3673
LL(0.7) v MR(1),4470,1651,2818,-4117,-383,-3735
LL(0.9) v MR(0),7936,3747,4189,-8146,-3403,-4744
LL(0.9) v MR(0.1),8703,4519,4184,-7936,-3908,-4029
LL(0.9) v MR(0.3),7662,3820,3841,-7580,-4055,-3525
LL(0.9) v MR(0.5),7967,3853,4113,-6522,-3261,-3261
